"Restaurant.Name","Address","Inspection.Fail.Count","Inspection.Pass.Count","Violation.Level1.Count","Violation.Level2.Count","Violation.Level3.Count","Violation.Pass.Count","Violation.Fail.Count","Violation.2010.Count","Violation.2011.Count","Violation.2012.Count","Violation.2013.Count","Violation.2014.Count","Violation.2015.Count","Violation.2016.Count","Violation.2017.Count","Violation.2018.Count","Violation.2019.Count","Violation.2020.Count","Price","review_count_total","review_count_anuave","year_count","ave_rating","latest_review","earliest_review","inactive_years","Yelp","Food.Inspection","lon","lat","Land_Parcel_ID","GIS_ID","Blk_ID_10","BG_ID_10","CT_ID_10"
"New Sushi","106 Cambridge StBoston, MA 02114",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"$$",125,41.66666667,3,3.923371648,2019,2017,0,1,0,-71.0631847,42.3610448,300026000,300026000,250250203021000,250250203021,25025020302
"Yummy Express","106   Cambridge ST Boston MA 2114",5,4,32,4,8,21,23,32,12,0,0,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,1,-71.063183,42.361066,300026000,300026000,250250203021000,250250203021,25025020302
"Red Hat Cafe","9   Bowdoin ST Boston MA 2114",26,15,277,39,55,165,206,24,33,128,76,13,0,28,21,30,18,0,"0",0,0,0,0,0,0,0,0,1,-71.06319,42.36102,300027000,300027000,250250203021000,250250203021,25025020302
"The Red Hat","9 Bowdoin StBoston, MA 02114",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"$$",256,17.06666667,15,3.347671092,2019,2005,0,1,0,-71.0631016,42.3609104,300028000,300028000,250250203021000,250250203021,25025020302
"Grotto","37 Bowdoin StBoston, MA 02114",21,12,180,24,28,108,124,24,6,30,86,8,0,33,19,14,12,0,"$$$",810,54,15,4.113572399,2019,2005,0,1,1,-71.063032,42.3599149,300041000,300041000,250250203021000,250250203021,25025020302
"Subway Restaurant No.  39205","138   Cambridge ST Boston MA 2114",7,4,50,2,39,36,55,0,16,75,0,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,1,-71.063928,42.361003,300053000,300053000,250250203021002,250250203021,25025020302
"Subway Restaurants","138 Cambridge StreetBoston, MA 02114",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"$",17,1.545454545,11,1.545454545,2019,2008,0,1,0,-71.0639605,42.3610014,300053000,300053000,250250203021002,250250203021,25025020302
"Subway (138 Cambridge St.)","138   Cambridge ST Boston MA 2114",13,9,76,11,23,52,58,0,0,0,34,3,0,28,19,16,2,8,"0",0,0,0,0,0,0,0,0,1,-71.063928,42.361003,300053000,300053000,250250203021002,250250203021,25025020302
"The Tip Tap Room","138 Cambridge StBoston, MA 02114",15,9,92,22,27,67,74,0,0,42,23,4,6,16,6,28,16,0,"$$",715,89.375,8,3.904925154,2019,2012,0,1,1,-71.0639605,42.3610014,300053000,300053000,250250203021002,250250203021,25025020302
"Subway of Beacon Hill","138   Cambridge ST Boston MA 2114",2,2,26,2,8,18,18,36,0,0,0,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,1,-71.063928,42.361003,300053000,300053000,250250203021002,250250203021,25025020302
"Sun Tuey Restaurant","138 Cambridge StBoston, MA 02114",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"no value",0,0,1,0,0,0,0,1,0,-71.0639605,42.3610014,300053000,300053000,250250203021002,250250203021,25025020302
"SHANGRI-LA REST. & PASTRY","138   Cambridge ST Boston MA 2114",4,4,46,10,10,33,33,66,0,0,0,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,1,-71.063928,42.361003,300053000,300053000,250250203021002,250250203021,25025020302
"Seoul - Boston","156 Cambridge StBoston, MA 02114",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"$$",266,44.33333333,6,3.555514553,2019,2014,0,1,0,-71.0647402,42.3609887,300114000,300114000,250250203021004,250250203021,25025020302
"Cafe Podima","156 Cambridge StBoston, MA 02114",21,9,267,39,54,151,209,0,24,88,124,28,10,46,40,0,0,0,"$",147,9.8,15,3.392186887,2019,2005,0,1,1,-71.0647402,42.3609887,300114000,300114000,250250203021004,250250203021,25025020302
"Seoul","156   Cambridge ST Boston MA 2114",23,19,368,42,101,251,260,24,48,99,140,22,22,60,42,28,26,0,"0",0,0,0,0,0,0,0,0,1,-71.064668,42.360978,300114000,300114000,250250203021004,250250203021,25025020302
"GRIDDLER'S BURGERS & DOGS","204   Cambridge ST Boston MA 2114",27,8,248,12,114,168,206,46,24,88,150,13,29,24,0,0,0,0,"0",0,0,0,0,0,0,0,0,1,-71.06586,42.36096,300138000,300138000,250250202001000,250250202001,25025020200
"All Star Pizza Bar","204 Cambridge StBoston, MA 02114",8,5,48,4,24,36,40,0,0,0,0,0,0,0,44,12,20,0,"$",80,26.66666667,3,4.437171717,2019,2017,0,1,1,-71.0659104,42.360852,300191000,300191000,250250202001000,250250202001,25025020200
"MGH Canteen","55 Fruit StMassachusetts General HospitalBoston, MA 02114",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"$",6,1.5,4,4,2018,2008,1,1,0,-71.0672495,42.3624666,300370000,300370000,250250203011011,250250203011,25025020301
"Massachusetts Eye & Ear Infirmary Eye Opener Cafe","243  Charles ST Boston MA 2114",5,1,12,0,2,3,11,0,3,6,3,0,0,2,0,0,0,0,"0",0,0,0,0,0,0,0,0,1,-71.070319,42.362781,300381001,300381001,250250203011011,250250203011,25025020301
"Mass General Hospital Cafe","55  Fruit ST Boston MA 2114",15,11,58,6,4,31,37,20,2,10,10,6,0,3,0,3,14,0,"0",0,0,0,0,0,0,0,0,1,-71.07014,42.36259,300381001,300381001,250250203011011,250250203011,25025020301
"Mass Gen. Hosp./Tea Leaves & Coffee Beans","55  Fruit ST Boston MA 2114",3,1,2,0,2,1,3,0,0,1,0,0,0,0,1,2,0,0,"0",0,0,0,0,0,0,0,0,1,-71.07014,42.36259,300381001,300381001,250250203011011,250250203011,25025020301
"MASS EYE AND EAR INFIRMARY","243   Charles ST Boston MA 2114",15,10,88,6,22,54,62,17,1,28,24,4,0,0,12,20,10,0,"0",0,0,0,0,0,0,0,0,1,-71.07009,42.36275,300381001,300381001,250250203011011,250250203011,25025020301
"Greek Festival I I L.L.C","239   Cambridge ST Boston MA 2114",1,1,4,0,0,2,2,0,4,0,0,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,1,-71.06746,42.36147,300389000,300389000,250250203011016,250250203011,25025020301
"Finagle A Bagel","277 Cambridge StBoston, MA 02114",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"$",66,5.076923077,13,2.852625153,2019,2007,0,1,0,-71.0683252,42.3613581,300418001,300418001,250250203011017,250250203011,25025020301
"Finagle A Bagel","275  Cambridge St Boston MA 2114",24,19,149,29,45,105,118,20,10,52,18,6,2,32,17,32,18,16,"0",0,0,0,0,0,0,0,0,1,-71.068227,42.361357,300418001,300418001,250250203011017,250250203011,25025020301
"RIVERSIDE CAFE-LEV1","32  Fruit ST Boston MA 2114",5,1,6,0,4,2,8,3,0,1,0,0,0,0,2,4,0,0,"0",0,0,0,0,0,0,0,0,1,-71.068988,42.362202,300427000,300427000,250250203011018,250250203011,25025020301
"YAWKEY CENTER ""COFFEE SOUTH""","32  Fruit ST Boston MA 2114",6,1,9,2,0,3,8,1,0,0,2,0,0,6,1,1,0,0,"0",0,0,0,0,0,0,0,0,1,-71.068988,42.362202,300427000,300427000,250250203011018,250250203011,25025020301
"Mrs Chan's","307 Cambridge StBoston, MA 02114",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"no value",0,0,1,0,0,0,0,1,0,-71.0694809,42.3613132,300438000,300438000,250250203011018,250250203011,25025020301
"CLINK","215 Charles StThe Liberty HotelBoston, MA 02114",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"$$$",393,30.23076923,13,3.226060615,2019,2007,0,1,0,-71.070112,42.3621448,300445010,300445010,250250203011018,250250203011,25025020301
"The Liberty Hotel","215   Charles ST Boston MA 2114",20,13,149,26,42,108,113,12,9,30,57,16,6,15,36,18,18,0,"0",0,0,0,0,0,0,0,0,1,-71.070362,42.36203,300445010,300445010,250250203011018,250250203011,25025020301
"Scampo","215 Charles StBoston, MA 02114",19,10,173,20,34,104,123,14,6,55,38,0,0,25,33,30,26,0,"$$$",546,45.5,12,3.87462981,2019,2008,0,1,1,-71.070112,42.3621448,300445010,300445010,250250203011018,250250203011,25025020301
"Alibi","215 Charles StBoston, MA 02114",12,3,77,12,18,45,62,0,0,39,32,0,0,4,12,12,8,0,"$$$",359,27.61538462,13,3.104919171,2019,2007,0,1,1,-71.070112,42.3621448,300445010,300445010,250250203011018,250250203011,25025020301
"PENNYPACKERS","8  Whittier PL Boston MA 2114",1,0,2,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,"0",0,0,0,0,0,0,0,0,1,-71.068189,42.365437,300450000,300450000,250250203033000,250250203033,25025020303
"The Clubs @ Charles River Park","10  Whittier PL Boston MA 2114",2,2,4,0,6,5,5,0,0,0,0,4,6,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,1,-71.066648,42.365678,300450000,300450000,250250203033000,250250203033,25025020303
"Jugos","10  Whittier PL Boston MA 2114",1,1,10,2,2,7,7,0,0,0,0,0,0,14,0,0,0,0,"0",0,0,0,0,0,0,0,0,1,-71.066648,42.365678,300450000,300450000,250250203033000,250250203033,25025020303
"Bishop's Mediterranean","70 Staniford StBoston, MA 02114",10,8,87,8,24,59,60,0,0,0,0,2,12,31,22,32,20,0,"$",93,15.5,6,3.735714286,2019,2014,0,1,1,-71.0643402,42.3631455,300470000,300470000,250250203033000,250250203033,25025020303
"FOUR'S BOSTON","Boston, MA 02114",22,13,217,22,35,125,149,14,18,133,22,14,4,13,2,34,20,0,"no value",1,1,1,2,2019,2019,0,1,1,-71.0646337,42.3652917,300470000,300470000,250250203033000,250250203033,25025020303
"Viva Burrito","66 Staniford StBoston, MA 02114",21,11,147,13,40,89,111,24,26,27,42,5,0,16,18,28,14,0,"$",275,19.64285714,14,3.655114717,2019,2006,0,1,1,-71.0643572,42.3631164,300470000,300470000,250250203033000,250250203033,25025020303
"Bon Me","Boston, MA 02114",3,1,8,6,6,9,11,0,0,0,0,0,0,0,0,0,20,0,"$$",6,1.5,4,3.625,2019,2014,0,1,1,-71.0646337,42.3652917,300470000,300470000,250250203033000,250250203033,25025020303
"Domino's Pizza","64 Staniford StBoston, MA 02114",3,2,25,0,2,13,14,0,0,0,0,0,0,0,0,26,1,0,"$",75,6.25,12,1.984722222,2019,2006,0,1,1,-71.0645169,42.3630533,300470000,300470000,250250203033000,250250203033,25025020303
"BAGELS ETC","70  Staniford St Boston MA 2114",9,2,73,0,18,37,54,10,8,73,0,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,1,-71.06423,42.362733,300470050,300470050,250250203031000,250250203031,25025020303
"SHRINERS' HOSP. FOR CHILDREN","51   Blossom ST Boston MA 2114",13,12,46,8,26,40,40,0,0,13,16,2,8,8,4,9,20,0,"0",0,0,0,0,0,0,0,0,1,-71.06645,42.36308,300600000,300600000,250250203011012,250250203011,25025020301
"Savory Food Truck No.  3 (P-33-235)","0   Blossom ST Boston MA 2114",8,5,23,0,20,20,23,0,0,0,0,1,9,12,7,14,0,0,"0",0,0,0,0,0,0,0,0,1,-71.066147,42.362741,300600010,300600010,250250203011012,250250203011,25025020301
"The Dean's List","5 Blossom StBoston, MA 02114",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"$$",44,7.333333333,6,3.080663781,2019,2014,0,1,0,-71.0666208,42.3617806,300660002,300660002,250250203011015,250250203011,25025020301
"Wyndham Boston Beacon Hill-The Dean's List","5   Blossom ST Boston MA 2114",13,12,91,16,19,63,63,0,0,0,41,9,2,10,6,26,22,10,"0",0,0,0,0,0,0,0,0,1,-71.06661,42.36185,300660002,300660002,250250203011015,250250203011,25025020301
"WHOLE FOODS MARKET(Cambridge St.)","181   Cambridge ST Boston MA 2114",16,11,160,6,43,95,114,0,0,0,109,6,18,28,18,16,14,0,"0",0,0,0,0,0,0,0,0,1,-71.065981,42.362108,300660010,300660010,250250203011015,250250203011,25025020301
"Genji Sushi Bar","181 Cambridge StBoston, MA 02114",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"no value",1,1,1,1,2018,2018,1,1,0,-71.0655267,42.362046,300660010,300660010,250250203011015,250250203011,25025020301
"Slo Poke","181   Cambridge ST Boston MA 2114",1,1,0,4,0,2,2,0,0,0,0,0,0,0,0,0,2,2,"0",0,0,0,0,0,0,0,0,1,-71.065981,42.362108,300660010,300660010,250250203011015,250250203011,25025020301
"Pico","181 Cambridge StBoston, MA 02114",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"no value",0,0,1,0,0,0,0,1,0,-71.0655267,42.362046,300660010,300660010,250250203011015,250250203011,25025020301
"MASS GEN.HOSP./THE PLAZA CAFE","185   Cambridge ST Boston MA 2114",3,1,2,0,2,1,3,1,0,1,2,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,1,-71.066059,42.362108,300660010,300660010,250250203011015,250250203011,25025020301
"Au Bon Pain","209 Cambridge StBoston, MA 02114",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"$",56,5.090909091,11,2.130952381,2019,2009,0,1,0,-71.0665615,42.3613802,300660010,300660010,250250203011015,250250203011,25025020301
"Skinte","005 Pleasure CrossingCambridge, MA 02114",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"no value",0,0,1,0,0,0,0,1,0,-71.0707754,42.3612777,300943000,300943000,250259815011002,250259815011,25025981501
"Riverview Cafe","1 Science ParkBoston, MA 02114",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"$",8,1.142857143,7,3.142857143,2018,2012,1,1,0,-71.0708196,42.3677911,301290001,301290001,250250203011001,250250203011,25025020301
"Museum of Science","10   Charles River DM Boston MA 2114",23,11,183,18,37,107,131,14,5,52,94,2,7,9,11,24,14,6,"0",0,0,0,0,0,0,0,0,1,-71.070312,42.367043,301290001,301290001,250250203011001,250250203011,25025020301
"Monica's Mercato","130 Salem StBoston, MA 02113",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"$$",473,33.78571429,14,4.403129251,2019,2005,0,1,0,-71.0555732,42.3651099,301320000,301320000,250250302001003,250250302001,25025030200
"Loconte's Italian Cuisine","116 Salem StBoston, MA 02113",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"$$",298,21.28571429,14,3.465117732,2019,2005,0,1,0,-71.0556217,42.3646818,301342000,301342000,NA,NA,NA
"LOCONTES RESTAURANT","116   Salem ST Boston MA 2113",10,8,73,10,6,43,46,2,10,24,16,2,9,0,0,12,14,0,"0",0,0,0,0,0,0,0,0,1,-71.055658,42.364676,301342000,301342000,NA,NA,NA
"La Famiglia Giorgio's","112 Salem StBoston, MA 02113",15,11,65,6,16,41,46,18,0,28,10,10,1,2,8,6,4,0,"$$",1407,93.8,15,3.926152755,2019,2005,0,1,1,-71.0556964,42.3645627,301346000,301346000,250250302001003,250250302001,25025030200
"Mangia Mangia","147 Endicott StBoston, MA 02113",23,14,155,14,26,91,104,14,13,24,28,51,41,12,0,2,10,0,"$",36,2.571428571,14,4.24047619,2019,2006,0,1,1,-71.0572477,42.3650991,301365000,301365000,250250302001002,250250302001,25025030200
"Regina Pizza","11 Thacher StBoston, MA 02113",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"no value",0,0,1,0,0,0,0,1,0,-71.056878,42.365432,301381000,301381000,250250301002006,250250301002,25025030100
"Pizzeria Regina","11H   Thacher ST Boston MA 2113",18,13,97,16,14,59,68,8,4,24,14,2,24,14,1,26,10,0,"0",0,0,0,0,0,0,0,0,1,-71.0569,42.365446,301381000,301381000,250250301002006,250250301002,25025030100
"Regina Pizzeria","11 1/2 Thacher StBoston, MA 02113",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"$$",1947,129.8,15,4.137223348,2019,2005,0,1,0,-71.057066,42.3654462,301381100,301381100,250250301002006,250250301002,25025030100
"Massimino's","207 Endicott StBoston, MA 02113",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"$$",354,25.28571429,14,3.447228468,2019,2006,0,1,0,-71.0579365,42.3665876,301425000,301425000,250250301002001,250250301002,25025030100
"Massiminos Cucina","207   Endicott ST Boston MA 2113",18,12,89,16,32,64,73,12,4,28,10,17,2,10,12,12,22,8,"0",0,0,0,0,0,0,0,0,1,-71.057928,42.366578,301425000,301425000,250250301002001,250250301002,25025030100
"FILIPPO'S","283   Causeway ST Boston MA 2114",16,10,78,12,14,47,57,16,0,17,8,14,20,8,3,14,4,0,"0",0,0,0,0,0,0,0,0,1,-71.05818,42.366963,301431000,301431000,250250301002001,250250301002,25025030100
"Filippo Ristorante","283 Causeway StBoston, MA 02114",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"$$",225,20.45454545,11,3.153729604,2019,2009,0,1,0,-71.0582478,42.366925,301431000,301431000,250250301002001,250250301002,25025030100
"Ducali Pizzeria & Bar","289 Causeway StBoston, MA 02114",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"$$",275,25,11,3.518032607,2019,2009,0,1,0,-71.0581116,42.3670789,301433000,301433000,250250301002001,250250301002,25025030100
"Sal's Lunch","31 Thacher StBoston, MA 02113",29,12,197,20,57,113,161,21,6,22,10,90,43,24,10,17,31,0,"$",7,1.4,5,2.5,2015,2006,4,1,1,-71.0580158,42.3653798,301459000,301459000,250250302001000,250250302001,25025030200
"Tony & Elaine’s","111 N Washington StBoston, MA 02114",1,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,"$$",107,107,1,4.271028037,2019,2019,0,1,1,-71.0581455,42.3655842,301464000,301464000,250250302001000,250250302001,25025030200
"Amici","111 N Washington ST Boston MA 2113",3,2,19,2,6,13,14,0,0,0,8,0,19,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,1,-71.058131,42.365582,301464000,301464000,250250302001000,250250302001,25025030200
"JOE TECCI'S","55   Cooper ST Boston MA 2113",4,3,9,0,4,6,7,6,7,0,0,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,1,-71.057902,42.364505,301502000,301502000,250250302001005,250250302001,25025030200
"CAUSEWAY CAFE","239   Causeway ST Boston MA 2114",15,10,78,6,28,51,61,9,4,23,14,10,0,10,12,24,6,0,"0",0,0,0,0,0,0,0,0,1,-71.05943,42.36611,301517000,301517000,250250203032026,250250203032,25025020303
"Ward 8","90 N Washington StBoston, MA 02113",7,6,29,2,14,21,24,0,0,0,4,3,0,0,2,26,10,0,"$$",457,65.28571429,7,3.993869326,2019,2013,0,1,1,-71.0586213,42.3653965,301521000,301521000,250250203032026,250250203032,25025020303
"NEBO","90 N Washington ST Boston MA 2114",3,3,22,2,4,14,14,2,14,12,0,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,1,-71.058669,42.365401,301521000,301521000,250250203032026,250250203032,25025020303
"The Bistro Restaurant and Bar","107 Beverly StBoston, MA 02114",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"no value",2,2,1,3,2019,2019,0,1,0,-71.0596145,42.3658955,301523001,301523001,250250203032035,250250203032,25025020303
"A&B Burgers","115 Beverly StBoston, MA 02114",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"no value",45,45,1,3.466666667,2019,2019,0,1,0,-71.0597742,42.3660325,301523001,301523001,250250203032035,250250203032,25025020303
"Jimmy John's","60 Valenti WayBoston, MA 02114",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"$",26,5.2,5,2.133333333,2019,2015,0,1,0,-71.0593908,42.3648941,301536000,301536000,250250203032033,250250203032,25025020303
"Tavern In The Square","120 Beverly StBoston, MA 02114",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"$$",238,39.66666667,6,3.635923763,2019,2014,0,1,0,-71.0603454,42.3657433,301536000,301536000,250250203032033,250250203032,25025020303
"City Winery","80 Beverly StBoston, MA 02114",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"$$",280,93.33333333,3,3.039361421,2019,2017,0,1,0,-71.0588692,42.3645923,301560010,301560010,250250203032041,250250203032,25025020303
"Bonne Chance Cafe","77   Canal ST Boston MA 2114",18,15,159,12,32,99,104,24,36,30,32,10,8,14,10,22,17,0,"0",0,0,0,0,0,0,0,0,1,-71.059521,42.364196,301568000,301568000,250250203032041,250250203032,25025020303
"OSTERIA RUSTICO","85   Canal ST Boston MA 2114",1,1,6,0,0,3,3,6,0,0,0,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,1,-71.059668,42.364362,301568000,301568000,250250203032041,250250203032,25025020303
"Mulligans","83   Canal ST Boston MA 2114",12,7,72,10,26,50,58,6,5,4,36,0,0,6,11,32,8,0,"0",0,0,0,0,0,0,0,0,1,-71.059631,42.364307,301568000,301568000,250250203032041,250250203032,25025020303
"Rustico","85 Canal StBoston, MA 02114",14,9,68,10,8,40,46,0,8,14,2,0,0,6,12,22,22,0,"$",163,10.86666667,15,4.182870479,2019,2005,0,1,1,-71.0596381,42.3643874,301568000,301568000,250250203032041,250250203032,25025020303
"Bodega Canal","57 Canal StBoston, MA 02114",6,2,52,8,16,34,42,0,0,0,0,0,0,0,0,18,28,30,"$$",142,47.33333333,3,3.043994602,2019,2017,0,1,1,-71.0591423,42.3638947,301568000,301568000,250250203032041,250250203032,25025020303
"THE GRAND CANAL","57   Canal ST Boston MA 2114",17,7,238,20,24,98,184,10,32,83,108,30,4,15,0,0,0,0,"0",0,0,0,0,0,0,0,0,1,-71.059131,42.363866,301568000,301568000,250250203032041,250250203032,25025020303
"Halftime Pizza","115 Causeway StBoston, MA 02114",15,6,61,6,18,35,50,4,4,14,30,2,0,12,4,9,6,0,"$",142,10.14285714,14,3.25568271,2019,2006,0,1,1,-71.0615271,42.3650917,301598000,301598000,250250203032047,250250203032,25025020303
"Dunkin Donuts (Canal St.)","168   Canal ST Boston MA 2114",13,6,40,8,6,22,32,0,1,5,20,1,1,8,6,2,6,4,"0",0,0,0,0,0,0,0,0,1,-71.061179,42.365016,301601000,301601000,250250203032047,250250203032,25025020303
"Sullivan's Tap","168   Canal ST Boston MA 2114",14,8,54,11,3,30,38,11,6,18,10,8,1,4,2,6,2,0,"0",0,0,0,0,0,0,0,0,1,-71.061179,42.365016,301601000,301601000,250250203032047,250250203032,25025020303
"The Four's Restaurant & Sports Bar","166 Canal StBoston, MA 02114",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"$$",344,22.93333333,15,3.709355072,2019,2005,0,1,0,-71.0610674,42.3650224,301602000,301602000,250250203032047,250250203032,25025020303
"Hurricane's at the Garden","150 Canal StBoston, MA 02114",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"no value",37,18.5,2,3.669642857,2019,2018,0,1,0,-71.0607802,42.364819,301605000,301605000,250250203032047,250250203032,25025020303
"HURRICANE O'REILLY'S","150   Canal ST Boston MA 2114",2,2,16,2,2,10,10,0,0,0,0,0,0,0,0,10,10,0,"0",0,0,0,0,0,0,0,0,1,-71.0608,42.3648,301605000,301605000,250250203032047,250250203032,25025020303
"HURRICANE O'REILLY'S","144   Canal ST Boston MA 2114",12,8,184,15,31,111,119,12,21,71,60,6,16,24,20,0,0,0,"0",0,0,0,0,0,0,0,0,1,-71.060746,42.36476,301606000,301606000,250250203032047,250250203032,25025020303
"SPORTS GRILLE BOSTON","132   Canal ST Boston MA 2114",12,8,236,20,37,131,162,43,17,185,32,16,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,1,-71.060628,42.36464,301607000,301607000,250250203032047,250250203032,25025020303
"Boston Sports Grille","132 Canal StBoston, MA 02114",6,4,59,6,10,36,39,0,0,0,0,0,2,10,14,24,25,0,"$$",116,8.285714286,14,2.980880429,2019,2005,0,1,1,-71.0606642,42.3647064,301607000,301607000,250250203032047,250250203032,25025020303
"BEERWORKS No. 3 Canal","112 Canal StBoston, MA 02114",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"$$",483,32.2,15,3.274089385,2019,2005,0,1,0,-71.060386,42.364458,301609000,301609000,250250203032047,250250203032,25025020303
"Popover King","74 Canal StBoston, MA 02114",1,1,8,10,6,12,12,0,0,0,0,0,0,0,0,0,0,24,"$$",75,75,1,4.226666667,2019,2019,0,1,1,-71.0596544,42.3638009,301623000,301623000,250250203032048,250250203032,25025020303
"Ruby Room","155 Portland StBoston, MA 02115",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"$$$",24,1.846153846,13,2.987179487,2019,2005,0,1,0,-71.0613606,42.3641945,301646010,301646010,250250203032046,250250203032,25025020303
"Porters Bar & Grill","173 Portland StBoston, MA 02114",22,15,193,20,34,116,131,46,32,26,16,14,2,33,26,20,24,8,"$$",240,18.46153846,13,3.591766382,2019,2006,0,1,1,-71.061633,42.364351,301649000,301649000,250250203032046,250250203032,25025020303
"MCGANN'S BOSTON","197   Portland ST Boston MA 2114",17,14,120,4,12,65,71,22,14,30,10,5,0,20,10,14,11,0,"0",0,0,0,0,0,0,0,0,1,-71.06171,42.36451,301650000,301650000,250250203032046,250250203032,25025020303
"METRO SUBWAY INC.","203   Portland ST Boston MA 2114",19,14,105,0,68,81,92,20,16,38,27,8,0,15,13,12,24,0,"0",0,0,0,0,0,0,0,0,1,-71.06196,42.36471,301651000,301651000,250250203032046,250250203032,25025020303
"Subway Restaurants","205 Portland StBoston, MA 02114",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"$",14,1.4,10,1.35,2019,2008,0,1,0,-71.0619155,42.3647529,301651000,301651000,250250203032046,250250203032,25025020303
"Second Cup Coffee","97 Causeway StBoston, MA 02114",2,1,0,4,2,2,4,0,0,0,0,0,0,0,0,0,0,6,"no value",14,14,1,3.5,2019,2019,0,1,1,-71.0619151,42.3648346,301651000,301651000,250250203032046,250250203032,25025020303
"Blake's","276 Friend StBoston, MA 02114",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"no value",20,20,1,3.7,2019,2019,0,1,0,-71.0615643,42.3647143,301652000,301652000,250250203032046,250250203032,25025020303
"QDOBA Mexican Eats","101 Causeway StBoston, MA 02114",13,8,57,12,16,41,44,0,0,8,33,0,0,7,2,18,11,6,"$",36,4,9,3.16957672,2019,2011,0,1,1,-71.0618282,42.36487,301652000,301652000,250250203032046,250250203032,25025020303
"The Greatest Bar","262   Friend ST Boston MA 2114",14,8,121,6,65,89,103,0,14,53,28,7,41,14,12,20,3,0,"0",0,0,0,0,0,0,0,0,1,-71.061391,42.364533,301654000,301654000,250250203032046,250250203032,25025020303
"West End Pizza","252 Friend StBoston, MA 02114",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"$$$$",11,1.833333333,6,3.166666667,2019,2007,0,1,0,-71.0613257,42.3644947,301655000,301655000,250250203032046,250250203032,25025020303
"Bulfinch Roma","252 Friend StBoston, MA 02114",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"no value",0,0,1,0,0,0,0,1,0,-71.0613257,42.3644947,301655000,301655000,250250203032046,250250203032,25025020303
"The West Ender","252   Friend ST Boston MA 2114",2,2,24,6,10,20,20,0,0,0,0,0,0,0,20,20,0,0,"0",0,0,0,0,0,0,0,0,1,-71.061192,42.364494,301656000,301656000,250250203032046,250250203032,25025020303
